D0:1
D1:1
D10:1
D11:1
D16:1
D17:1
D18:1
D19:1
D2:1
D20:1
D21:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D3:1
D32:3
D33:1
D34:1
D35:1
D36:1
D37:1
D38:1
D39:1
D4:1
D40:1
D41:1
D42:1
D43:1
D44:2
D48:1
D49:1
D5:1
D50:1
D51:1
D52:1
D53:1
D54:1
D55:1
D56:1
D57:1
D58:1
D59:1
D6:1
D64:1
D65:1
D66:1
D67:1
D68:1
D69:3
D7:1
D70:2
D71:1
D72:1
D73:1
D74:1
D75:1
D8:1
D9:1
K0:1
K1:1
K10:1
K11:1
K16:1
K17:1
K18:1
K19:1
K2:1
K20:1
K21:1
K22:1
K23:1
K24:1
K25:1
K26:1
K27:1
K3:1
K32:1
K33:1
K34:1
K35:1
K36:1
K37:1
K38:1
K39:1
K4:1
K40:1
K41:1
K42:1
K43:1
K44:2
K48:1
K49:1
K5:1
K50:1
K51:1
K52:1
K53:1
K54:1
K55:1
K56:1
K57:1
K58:1
K59:1
K6:1
K60:2
K64:1
K65:1
K66:1
K67:1
K68:1
K69:2
K7:1
K70:2
K71:1
K72:1
K73:1
K74:1
K75:1
K8:1
K9:1
Logo:1
Reset:1
RotEnc:1
TH3:10
pico:1
