Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R4,27r 0402 resistor,R_0402_1005Metric,363.19,-52.54,270.0,bottom
R5,5.1K 0402,R_0805_2012Metric,364.285,-36.98,90.0,bottom
R6,5.1K 0402,R_0805_2012Metric,367.205,-36.97,90.0,bottom
R7,100K 0402,R_0402_1005Metric,367.984999,-42.47625,0.0,bottom
R8,330r,R_0805_2012Metric,360.3,-38.825,0.0,bottom
R9,62ohm 0402,R_0402_1005Metric,366.165,-49.86,270.0,bottom
R11,1K 0402,R_0402_1005Metric,363.16,-68.58,270.0,bottom
RSW1,TSA343G00-250J2,SW_Push_SPST_NO_Alps_SKRK,357.4,-47.4125,270.0,bottom
U1,SOT-23-5 5.5V 3.3V 500mA,SOT-23-5,368.435,-44.70125,0.0,bottom
U3,RP2040,RP2040-QFN-56,365.4,-60.4,270.0,bottom
USB1,TYPE-C-31-M-14,USB_C_TYPE-C-31-M-14,365.425,-30.76,180.0,bottom
Y1,3225_4P 12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,365.8,-69.35,0.0,bottom
